Sample,target,normalized_ratio
Control,ELP1,0.797658745350303
Control,ELP1,1.1801929063183
Control,ELP1,0.993004060641454
Control,ELP1,1.02914428768995
TDP-43 KD,ELP1,2.47006980081092
TDP-43 KD,ELP1,1.64052388610631
TDP-43 KD,ELP1,1.73381078831765
TDP-43 KD,ELP1,1.22958949364993
Control,TDP-43,1.10933987
Control,TDP-43,0.921495314
Control,TDP-43,0.992803314
Control,TDP-43,0.976361501
TDP-43 KD,TDP-43,0.354703243
TDP-43 KD,TDP-43,0.300948577
TDP-43 KD,TDP-43,0.362791531
TDP-43 KD,TDP-43,0.341238714
