condition,group,SFPQ_canon_GAPDH,SFPQ_alt_GAPDH,concentration,SFQP_canon_ref,SFQP_alt_ref,SFQP_canon_ref2,SFQP_alt_ref2,normalized_SFPQ_canon_GAPDH,normalized_SFPQ_alt_GAPDH,normalized_SFPQ_canon_GAPDH2,normalized_SFPQ_alt_GAPDH2
TDP43,TDP43_0.1uM,0.0463822854403171,0.0656712200158165,0.1uM,0.0587660284687278,0.0212098478518372,0.0951503086538471,0.0108305774054824,0.78927037693213,3.09626077822752,0.487463320892147,6.06350128503528
TDP43,TDP43_0.1uM,0.0460290329241751,0.0725175375143011,0.1uM,0.0587660284687278,0.0212098478518372,0.0951503086538471,0.0108305774054824,0.783259208143857,3.41905034024182,0.483750747374103,6.69562986342658
TDP43,TDP43_0.1uM,0.048053174148655,0.0679890455944226,0.1uM,0.0587660284687278,0.0212098478518372,0.0951503086538471,0.0108305774054824,0.817703278591072,3.2055414102621,0.505023838897574,6.2775088574693
TDP43,TDP43_DMSO,0.0622168554465414,0.0207559424213273,DMSO,0.0587660284687278,0.0212098478518372,0.0951503086538471,0.0108305774054824,1.05872145979118,0.978599307563135,0.65387970177673,1.91642067123963
TDP43,TDP43_DMSO,0.0547621815993696,0.0216850548282058,DMSO,0.0587660284687278,0.0212098478518372,0.0951503086538471,0.0108305774054824,0.931868003101675,1.02240501580625,0.575533409971292,2.0022067168117
TDP43,TDP43_DMSO,0.0593190483602724,0.0211885463059784,DMSO,0.0587660284687278,0.0212098478518372,0.0951503086538471,0.0108305774054824,1.00941053710715,0.998995676630611,0.623424655153486,1.9563634987044
scr,scr_0.1uM,0.0908119322813214,0.0348934967724932,0.1uM,0.0951503086538471,0.0108305774054824,0.0951503086538471,0.0108305774054824,0.954405020499633,3.2217577573316,0.954405020499633,3.2217577573316
scr,scr_0.1uM,0.0893163589238431,0.0331593251101108,0.1uM,0.0951503086538471,0.0108305774054824,0.0951503086538471,0.0108305774054824,0.938687012028225,3.06163964012904,0.938687012028225,3.06163964012904
scr,scr_0.1uM,0.0886629903722107,0.0311220147190643,0.1uM,0.0951503086538471,0.0108305774054824,0.0951503086538471,0.0108305774054824,0.93182031279334,2.87353236617934,0.93182031279334,2.87353236617934
scr,scr_DMSO,0.0944625410214837,0.0112357180180277,DMSO,0.0951503086538471,0.0108305774054824,0.0951503086538471,0.0108305774054824,0.992771777179772,1.03740711112413,0.992771777179772,1.03740711112413
scr,scr_DMSO,0.0925612221150265,0.0104182986156848,DMSO,0.0951503086538471,0.0108305774054824,0.0951503086538471,0.0108305774054824,0.972789509824507,0.961933812541803,0.972789509824507,0.961933812541803
scr,scr_DMSO,0.0984271628250312,0.0108377155827346,DMSO,0.0951503086538471,0.0108305774054824,0.0951503086538471,0.0108305774054824,1.03443871299572,1.00065907633407,1.03443871299572,1.00065907633407
