Sample,target,ratio,normalized_ratio
Control,SFPQ,0.998826348476698,0.940596225397463
Control,SFPQ,1.05867251680358,0.996953449171762
Control,SFPQ,1.12822415222799,1.06245032543078
TDP-43 KD,SFPQ,0.850124668848372,0.800563637368545
TDP-43 KD,SFPQ,0.81292818570162,0.765535655077876
TDP-43 KD,SFPQ,0.876014003927931,0.824943661875329
Control,TDP-43,4.27067102939649,0.970685234920309
Control,TDP-43,4.3968244999435,0.999358787706519
Control,TDP-43,4.53144129104062,1.02995597737317
TDP-43 KD,TDP-43,0.257418212991897,0.0585088518480704
TDP-43 KD,TDP-43,0.309150227872795,0.0702670750106402
TDP-43 KD,TDP-43,0.257505740111024,0.0585287459774957
