Plasmid,Replicate,firefly,Renilla,ratio
pmiroGlo,1,231815,5047,45.9312462849217
pmiroGlo,2,183985,4198,43.8268222963316
pmiroGlo,3,268102,4535,59.1184123484013
pmiroGlo,4,205487,3553,57.8347875035182
pmiroGlo,5,327421,5323,61.5106143152358
pmiroGlo,6,195828,3614,54.18594355285
short3UTR,1,289161,5753,50.2626455762211
short3UTR,2,204339,4679,43.6715110066254
short3UTR,3,193346,5027,38.4615078575691
short3UTR,4,226881,4279,53.0219677494742
short3UTR,5,200924,4464,45.0098566308244
short3UTR,6,243642,5364,45.4217002237137
Long3UTR-mutPAS1,1,145772,4218,34.5595068752964
Long3UTR-mutPAS1,2,151521,4433,34.180239115723
Long3UTR-mutPAS1,3,127009,3573,35.5468793730759
Long3UTR-mutPAS1,4,114693,3563,32.1900084198709
Long3UTR-mutPAS1,5,129119,3502,36.8700742432896
Long3UTR-mutPAS1,6,171868,4269,40.2595455610213
