Sample,Cq_mean_Firefly,Cq_mean_Long,Cq_mean_Renilla,Cq_mean_Short,Cq_sd_err_Firefly,Cq_sd_err_Long,Cq_sd_err_Renilla,Cq_sd_err_Short,group,ratio_3utr,ratio_long_Firefly,ratio_short_Firefly,ratio_long_Renilla,ratio_short_Renilla,ratio_Firefly_Renilla
Long-mut-1,19.0801604963983,23.658759449942,19.638210318145,24.0965728516725,0.010243142726468,0.00308599990371938,0.00352247671964001,0.0540974027744028,Long-mut,1.35454976860052,0.0418508590421334,0.0308965089450883,0.0616160866877201,0.0454882412710312,0.679219685830423
Long-mut-2,18.9378616583127,23.6441769804618,19.5519156525684,23.7624303961041,0.0282928949800922,0.0782455548561423,0.0203383658784482,0.0287912787801154,Long-mut,1.08542001387167,0.0383052162951405,0.0352906854541096,0.0586282039831871,0.0540143015919353,0.653358173928122
Long-mut-3,19.0141326249953,23.6520413890019,19.5997593786258,24.1201789047892,0.0641076061416701,0.0831715612547832,0.0282000387521073,0.00870424462373265,Long-mut,1.38332247920003,0.0401652380141137,0.0290353396392004,0.0602756030296157,0.0435730669716816,0.666359787298668
No-insert-1,14.6973291291444,29.0151782040857,16.5164774919253,24.2717649635686,0.00035293055289376,0.412461716058591,0.118246721237302,0.0278216437826337,No-insert,0.0373327801492725,4.89663750942532e-05,0.00131161876770132,0.000172789034856966,0.00462834629958125,0.283388208833896
No-insert-2,16.4686930470995,30.9788097577104,17.7990781603665,25.7942814563084,0.00426175270670726,0.0136549009846512,0.013973033828691,0.0118079781532785,No-insert,0.0274980228117183,4.28567890646467e-05,0.00155854074884189,0.000107771878891466,0.00391925920017561,0.397662075723916
No-insert-3,15.8089726008725,30.6709349846237,17.2997521875051,25.4532473003831,0.00756615479107126,0.0245704278326855,0.0143409968821118,0.00510877628361861,No-insert,0.0268732070984975,3.35817657644163e-05,0.00124963744153536,9.43784630428633e-05,0.00351199105848964,0.355820222979947
Short-1,15.2519693826309,29.6609451161646,16.8849020424508,19.96192666912,0.116107152590928,0.128102364017309,0.0126343896595884,0.0371993539530191,Short,0.00120310773494363,4.59691101990689e-05,0.0382086398947661,0.000142569888159764,0.118501347816904,0.322432112365523
Short-2,15.4008850149461,29.0985050518074,16.7962557312791,19.8499465276184,0.0304625547807369,0.0065548860755662,0.0163549659010513,0.0201420535740144,Short,0.00164401761894589,7.52671548467245e-05,0.0457824502483034,0.000197994871114047,0.120433545743261,0.380146992814626
Short-3,15.4282499967083,28.5864468158507,16.7371872089955,19.4374471804481,0.00604091420070763,0.115617535955471,0.0165278408839775,0.0207387006018411,Short,0.00176147579356239,0.000109392631232104,0.0621028297021727,0.000271030041708802,0.153865322872632,0.403618102784477
