samplename,value,condition,normalized_value,study
SRR8571937,-1.66772078733942,positive,1.22740153904816,Liu_2019
SRR8571938,-0.651303594870296,negative,2.48289713041769,Liu_2019
SRR8571939,-1.91300562498495,positive,1.03549634404911,Liu_2019
SRR8571940,-0.845258972891608,negative,2.17056272168517,Liu_2019
SRR8571941,-2.65651248437981,positive,0.618487181761302,Liu_2019
SRR8571942,-1.25492526773049,negative,1.63399414866984,Liu_2019
SRR8571944,-2.56565724113222,positive,0.658689676241745,Liu_2019
SRR8571945,-1.2412181991068,negative,1.64959273705101,Liu_2019
SRR8571947,-2.22807073357896,positive,0.832347197532662,Liu_2019
SRR8571948,-1.42002070428513,negative,1.45730957524634,Liu_2019
SRR8571949,-1.73764322535035,positive,1.16933220875596,Liu_2019
SRR8571950,-0.829355539602052,negative,2.19462211082778,Liu_2019
SRR8571951,-0.974686497778889,positive,1.98431571891786,Liu_2019
SRR8571952,0.412948620302971,negative,5.1919507752144,Liu_2019
Scramble-7d-1,-2.43532022443013,Scramble,1.72904142030343,Inhouse
Scramble-7d-2,-3.5994110225914,Scramble,0.771576779759555,Inhouse
Scramble-7d-3,-3.64114671652452,Scramble,0.749575621494348,Inhouse
TDP43KD-7d-1,-2.18674387129003,TDP43KD,2.05416031984766,Inhouse
TDP43KD-7d-2,-2.38805892404001,TDP43KD,1.78662113107048,Inhouse
TDP43KD-7d-3,-1.84933310655867,TDP43KD,2.59540475973364,Inhouse
SRX14045044,-1.55725464446912,TDP43WT,1.11602684315139,Imaizumi
SRX14045045,-1.84698056622346,TDP43WT,0.91297407962316,Imaizumi
SRX14045046,-1.74264390640872,TDP43WT,0.9814471355949,Imaizumi
SRX14045047,-1.22904257264629,TDP43K263E,1.40112318347554,Imaizumi
SRX14045048,-1.00922301928593,TDP43K263E,1.63173112727741,Imaizumi
SRX14045049,-0.88271678977079,TDP43K263E,1.78127416068825,Imaizumi
SRX4910908,-1.62639083791287,scramble,1.17320778752079,Klim
SRX4910909,-1.81098103617188,scramble,1.03230433357701,Klim
SRX4910910,-1.2576528729409,KD,1.51487265107335,Klim
SRX4910911,-1.24817193963547,KD,1.52486069587608,Klim
SRX4910915,-1.82510606660069,scramble,1.02224664210145,Klim
SRX4910916,-2.14540307590913,scramble,0.818722423764507,Klim
SRX4910917,-1.43389120026909,KD,1.34067373783626,Klim
SRX4910918,-1.49555104444395,KD,1.28458143002276,Klim
SRX4910921,-1.99057141985231,scramble,0.911476882121413,Klim
SRX4910922,-1.74264390640872,scramble,1.08237879751918,Klim
SRX4910923,-1.23568391768884,KD,1.53811723857989,Klim
SRX4910924,-1.36713477131652,KD,1.40416708867353,Klim
CTR07.Aligned.sorted,-2.40877941073452,control,0.99877687688733,sh-sy5y
CTR08.Aligned.sorted,-2.5804711806906,control,0.886715104697409,sh-sy5y
CTR09.Aligned.sorted,-2.23179061971608,control,1.12913901620809,sh-sy5y
TDP10.Aligned.sorted,-1.88749296569236,KD,1.43347900162302,sh-sy5y
TDP11.Aligned.sorted,-1.96023534148135,KD,1.36299322932396,sh-sy5y
TDP12.Aligned.sorted,-1.96788806822874,KD,1.35578241977832,sh-sy5y
CTR01.Aligned.sorted,-2.35165188109653,control,0.874916755389811,sknz
CTR02.Aligned.sorted,-2.16624341919099,control,0.994901858635055,sknz
CTR03.Aligned.sorted,-1.95871332986245,control,1.14882274159616,sknz
TDP04.Aligned.sorted,-1.59609524305578,KD,1.4771069623261,sknz
TDP05.Aligned.sorted,-1.6786558115369,KD,1.39495030962097,sknz
TDP06.Aligned.sorted,-1.72569801435473,KD,1.35019850724587,sknz
